sku,product,system,part,price_kes,trade_price_kes,stock
RL#15_002,#15 Bendable Runners,#15 bendable,Runners,,,
RL#15_003,#15 Bendable Runners with Metal,#15 bendable,Runners,,,
RL#15_006,#15 Bendable Metal Stoppers,#15 bendable,Stoppers,,,
RL#15_005,#15 Bendable Stoppers,#15 bendable,Stoppers,,,
RL#15_001,#15 Bendable Track,#15 bendable,Tracks,,,
RL#17_002,#17 Rubber Single Ceiling Bracket,#17 groove rubber,Brackets,,,
RL#17_004,#17 Rubber Stoppers,#17 groove rubber,Stoppers,,,
RL#17_001,#17 Groove Bendable Rubber Track,#17 groove rubber,Tracks,,,
RL#20_002,#20 Double Ceiling Bracket,#20,Brackets,,,
RL#20_003,#20 Single Ceiling Bracket,#20,Brackets,,,
RL#20_006,#20 Single Wall Bracket,#20,Brackets,,,
RL#20_008,#20 Joint,#20,Joints,,,
RL#20_004,#20 Runners,#20,Runners,,,
RL#20_005,#20 Stoppers,#20,Stoppers,,,
RL#20_001,#20 Track,#20,Tracks,,,
RL#20R_007,#20 with Rubber Corner Joint,#20 with rubber,Corner joints,,,
RL#20R_004,#20 with Rubber Runners,#20 with rubber,Runners,,,
RL#20R_005,#20 with Rubber Stoppers,#20 with rubber,Stoppers,,,
RL#20R_001,#20 with Rubber Track,#20 with rubber,Tracks,,,
RL#28_007,#28 Single Ceiling Bracket,#28,Brackets,,,
RL#28_006,#28 Single Wall Bracket,#28,Brackets,,,
RL#28_004,#28 Corner Joint,#28,Corner joints,,,
RL#28_008,#28 Runners,#28,Runners,,,
RL#28_002,#28 Ripple Stopper,#28,Stoppers,,,
RL#28_003,#28 Stopper,#28,Stoppers,,,
RL#28_001,#28 Track,#28,Tracks,,,
RL#DR_003,Double Rail Stopper,Double rail,Stoppers,,,
RL#DR_001,Double Rail Track,Double rail,Tracks,,,
RL#ACC_008,Curtain Buckles (Black),Fits any system,Curtain buckles,,,
RL#ACC_006,Curtain Buckles (Copper),Fits any system,Curtain buckles,,,
RL#ACC_009,Curtain Buckles (Marble black),Fits any system,Curtain buckles,,,
RL#ACC_010,Curtain Buckles (Marble brown),Fits any system,Curtain buckles,,,
RL#ACC_005,Curtain Buckles (Silver),Fits any system,Curtain buckles,,,
RL#ACC_004,Curtain Buckles (White),Fits any system,Curtain buckles,,,
RL#ACC_001,3 Pleat Hooks,Fits any system,Curtain hooks,,,
RL#ACC_002,Curtain Tape Hooks (Metal),Fits any system,Curtain hooks,,,
RL#ACC_003,Curtain Tape Hooks (Plastic),Fits any system,Curtain hooks,,,
RL#ACC_012,3 Pleat Tape,Fits any system,Curtain tapes,,,
RL#ACC_011,Buckle Tape,Fits any system,Curtain tapes,,,
RL#ACC_014,S-Tape,Fits any system,Curtain tapes,,,
RL#ACC_015,Ripple runners,Fits any system,Runners,,,
RL#KS_003,KS Single Ceiling Bracket,KS,Brackets,,,
RL#KS_002,KS Runners,KS,Runners,,,
RL#KS_004,KS Stoppers,KS,Stoppers,,,
RL#KS_001,KS Track,KS,Tracks,,,
RL#MOTOR_005,Motorized Belt,Motorised,Belts,,,
RL#MOTOR_010,Motorized Ceiling Bracket,Motorised,Brackets,,,
RL#MOTOR_015,Motorized Single Wall Bracket,Motorised,Brackets,,,
RL#MOTOR_020,Motorized 135 Degree Corner Joint,Motorised,Corner joints,,,
RL#MOTOR_019,Motorized 45 Degree Corner Joint,Motorised,Corner joints,,,
RL#MOTOR_008,Motorized Drive Unit (Power Transmission End),Motorised,Drive units,,,
RL#MOTOR_009,Motorized Idle Unit (Tension Pulley End),Motorised,Drive units,,,
RL#MOTOR_017,Motorized Double Metal Holder,Motorised,Holders,,,
RL#MOTOR_016,Motorized White Single Holder,Motorised,Holders,,,
RL#MOTOR_006,Motorized Normal Master Carrier,Motorised,Master carriers,,,
RL#MOTOR_007,Motorized Ripple Master Carrier,Motorised,Master carriers,,,
RL#MOTOR_002,Motor 45 watts,Motorised,Motors,,,
RL#MOTOR_003,Motor 75 watts,Motorised,Motors,,,
RL#MOTOR_001,Wifi Motor 13 watts,Motorised,Motors,,,
RL#MOTOR_018,Motorized Stopper,Motorised,Stoppers,,,
RL#MOTOR_004,Motorized Track,Motorised,Tracks,,,
RL#ROMAN_001,Roman Blind Track,Roman blind,Tracks,,,
